product_slug;variant_name;sku;tone_code;tone_name;units;volume_ml;mass_g;sell_price;cost_price;physical_stock;available_on_demand
atenea-paleta-classic;Único;BRV-ATE-P028;;;;;;92000;92000;0;FALSE
atenea-paleta-art-deco;Único;BRV-ATE-P029;;;;;;43000;43000;0;FALSE
atenea-lip-balm-peptidos;Sweet Vanilla;BRV-ATE-P030;;Sweet Vanilla;;;;28000;28000;0;FALSE
atenea-lip-balm-peptidos;Cool Mint;BRV-ATE-P031;;Cool Mint;;;;28000;28000;0;FALSE
atenea-lip-balm-peptidos;Pink Sugar;BRV-ATE-P032;;Pink Sugar;;;;28000;28000;0;FALSE
atenea-lip-balm-peptidos;Cherry Spark;BRV-ATE-P033;;Cherry Spark;;;;28000;28000;0;FALSE
atenea-lip-balm-peptidos;Hot Chocolate;BRV-ATE-P034;;Hot Chocolate;;;;28000;28000;0;FALSE
atenea-polvo-suelto-translucido;Único;BRV-ATE-P035;;;;;;56000;56000;0;FALSE
atenea-click-lipstick;Opal;BRV-ATE-P036;;Opal;;;;20000;20000;0;FALSE
atenea-click-lipstick;Indian Red;BRV-ATE-P037;;Indian Red;;;;20000;20000;0;FALSE
